text,status,naer_general_rank,written_per_million,spoken_per_million,provenance_ids
的,provisional,1,63507.43920889973,63558.0795243436,naer:coct-general-frequency
是,provisional,2,18347.01754266865,31103.07163015227,naer:coct-general-frequency
一,provisional,3,14495.08486210656,17168.79308915701,naer:coct-general-frequency
個,provisional,4,9100.84431661916,25784.73637688493,naer:coct-general-frequency
在,provisional,5,12620.85127836898,11892.11360974347,naer:coct-general-frequency
我,provisional,6,11139.62149336243,16568.63096000657,naer:coct-general-frequency
有,provisional,7,8623.43485931467,13615.29288535801,naer:coct-general-frequency
就,provisional,8,6802.577602161922,18464.25012828618,naer:coct-general-frequency
了,provisional,9,12682.90597237028,11789.38146476618,naer:coct-general-frequency
這,provisional,10,7822.142854463123,17101.33700492078,naer:coct-general-frequency
不,provisional,11,8984.00395457244,8836.793944601479,naer:coct-general-frequency
他,provisional,12,9212.221991765118,7550.765746175702,naer:coct-general-frequency
也,provisional,13,6279.390352231947,7451.082728789062,naer:coct-general-frequency
我們,provisional,14,3641.238117192062,14266.35199044469,naer:coct-general-frequency
你,provisional,15,5420.21609809763,10214.85888660965,naer:coct-general-frequency
都,provisional,16,4454.015262453422,7267.196880245232,naer:coct-general-frequency
說,provisional,17,5072.017447885481,5941.530023141002,naer:coct-general-frequency
會,provisional,18,4016.400844024826,7661.331803578203,naer:coct-general-frequency
要,provisional,19,3336.260595096616,8210.362408516205,naer:coct-general-frequency
人,provisional,20,6107.379234473112,3835.098864209353,naer:coct-general-frequency
那,provisional,21,2850.927065805269,10546.69778778288,naer:coct-general-frequency
對,provisional,22,3497.552777803086,6593.058224780091,naer:coct-general-frequency
很,provisional,23,2818.405022861206,7110.37790277533,naer:coct-general-frequency
上,provisional,24,4875.571128183199,3212.467010198581,naer:coct-general-frequency
來,provisional,25,2931.664466605247,6032.018748100451,naer:coct-general-frequency
與,provisional,26,3819.128769325917,839.3075515679013,naer:coct-general-frequency
和,provisional,27,5284.35558129688,1321.116620545876,naer:coct-general-frequency
她,provisional,28,3854.072497596625,2790.561570963073,naer:coct-general-frequency
好,provisional,29,1760.215874587983,6208.53978077148,naer:coct-general-frequency
還,provisional,30,2441.813104688127,3659.281476366939,naer:coct-general-frequency
它,provisional,31,1215.396225731959,7077.869511693475,naer:coct-general-frequency
可以,provisional,32,2212.777252450711,5035.798399752167,naer:coct-general-frequency
中,provisional,33,4000.540790123272,1151.209849263797,naer:coct-general-frequency
讓,provisional,34,2066.046941511675,2817.534622726517,naer:coct-general-frequency
年,provisional,35,2027.50244505856,1945.906318697724,naer:coct-general-frequency
到,provisional,36,2124.87404506943,2934.24584496556,naer:coct-general-frequency
為,provisional,37,2958.485624091831,981.0216200502748,naer:coct-general-frequency
沒有,provisional,38,2329.986822260346,3543.226989301268,naer:coct-general-frequency
著,provisional,39,3982.052612145915,1538.16759534493,naer:coct-general-frequency
因為,provisional,40,1605.045394789196,4671.451107497087,naer:coct-general-frequency
所以,provisional,41,858.6383073816999,5888.428293408449,naer:coct-general-frequency
大,provisional,42,2065.8127129309,2230.647926009213,naer:coct-general-frequency
去,provisional,43,1897.52940258472,4298.847715919631,naer:coct-general-frequency
自己,provisional,44,2947.060033321199,2486.258637416182,naer:coct-general-frequency
把,provisional,45,2429.565728896813,3364.782660765369,naer:coct-general-frequency
他們,provisional,46,2691.187143693418,3211.575726749007,naer:coct-general-frequency
種,provisional,47,2777.808048844361,2964.408753285376,naer:coct-general-frequency
做,provisional,48,1624.744415429875,4005.47473204384,naer:coct-general-frequency
但,provisional,49,2212.030896972991,629.1053864339998,naer:coct-general-frequency
而,provisional,50,3612.20171312799,1119.123645079109,naer:coct-general-frequency
看,provisional,51,1748.448865886054,3452.222258134169,naer:coct-general-frequency
跟,provisional,52,1023.042951229302,4448.677154758659,naer:coct-general-frequency
將,provisional,53,1764.940145962914,459.2924344624034,naer:coct-general-frequency
最,provisional,54,1647.162869593099,1936.993484201977,naer:coct-general-frequency
以,provisional,55,2130.916348458207,707.0223237889229,naer:coct-general-frequency
能,provisional,56,2299.072619574137,988.855532475484,naer:coct-general-frequency
之,provisional,57,3462.422460662947,523.7463007632248,naer:coct-general-frequency
兩,provisional,58,2038.010971385823,1657.552667932696,naer:coct-general-frequency
後,provisional,59,1667.739254917693,539.0388483717167,naer:coct-general-frequency
從,provisional,60,1886.786647676684,1824.22267300316,naer:coct-general-frequency
被,provisional,61,2133.802520970455,1041.816533242316,naer:coct-general-frequency
什麼,provisional,62,1699.594341902943,3158.427087361212,naer:coct-general-frequency
時候,provisional,63,792.6771570502037,4225.574834433543,naer:coct-general-frequency
時,provisional,64,2464.430057648616,338.7346204936181,naer:coct-general-frequency
得,provisional,65,2270.913580193981,1622.745703744042,naer:coct-general-frequency
地,provisional,66,2987.3552891662,684.9278761705191,naer:coct-general-frequency
等,provisional,67,1280.571320826281,356.4664701746301,naer:coct-general-frequency
這樣,provisional,68,1107.420819971139,3355.166181441011,naer:coct-general-frequency
又,provisional,69,2095.603412424583,1530.662050506406,naer:coct-general-frequency
再,provisional,70,1267.323511096748,1982.026753233119,naer:coct-general-frequency
每,provisional,71,1268.057956646632,1651.407503096154,naer:coct-general-frequency
多,provisional,72,1252.801339088767,1304.885879832568,naer:coct-general-frequency
用,provisional,73,1479.415505999537,2279.340148149135,naer:coct-general-frequency
次,provisional,74,1312.728125983376,1435.341631057156,naer:coct-general-frequency
才,provisional,75,1558.695925627582,1503.501360121999,naer:coct-general-frequency
然後,provisional,76,573.2605565282988,3994.591692027981,naer:coct-general-frequency
更,provisional,77,1415.224964939654,1180.903661031206,naer:coct-general-frequency
想,provisional,78,1774.329139073597,1698.223339026446,naer:coct-general-frequency
